Auto-Generated Report (Modified K-Means Algorithm with three clusters)
Total Records: 4922
Total Clusters: 3
Most-Relevant: 524(10.65%)
Relevant: 72(1.46%)
Irrelevant: 4326(87.89%)
Total Iteration: 27
Time taken: 0.52 seconds

-----------------------------------------------------------
Cluster 	| RanK 			| Channel Name
===========================================================
Most-Relevant 	|10th			| Zee Marathi
Most-Relevant 	|13th			| Like Nastya Vlog
Most-Relevant 	|19th			| Badabun
Most-Relevant 	|26th			| Shemaroo Filmi Gaane
Most-Relevant 	|27th			| ibighit
Most-Relevant 	|29th			| Zee Telugu
Most-Relevant 	|31st			| Zee Bangla
Most-Relevant 	|33rd			| Toys and Colors
Most-Relevant 	|36th			| Colors TV
Most-Relevant 	|38th			| one31
Most-Relevant 	|40th			| CKN Toys
Most-Relevant 	|41st			| GMA Network
Most-Relevant 	|42nd			| Zé Neto e Cristiano
Most-Relevant 	|43rd			| Inside Edition
Most-Relevant 	|44th			| GRAMMY GOLD OFFICIAL
Most-Relevant 	|45th			| RedeTV
Most-Relevant 	|47th			| Speed Records
Most-Relevant 	|48th			| GR6 EXPLODE
Most-Relevant 	|49th			| Sony Music India
Most-Relevant 	|50th			| Infobells - Hindi
Most-Relevant 	|51st			| T-Series Apna Punjab
Most-Relevant 	|52nd			| T-Series Bhakti Sagar
Most-Relevant 	|53rd			| Tips Official
Most-Relevant 	|54th			| Ultra Bollywood
Most-Relevant 	|55th			| La Granja de Zenón
Most-Relevant 	|56th			| ? Kids Diana Show
Most-Relevant 	|60th			| ?????? ?????
Most-Relevant 	|61st			| Pencilmation
Most-Relevant 	|63rd			| Pinkfong! Kids' Songs & Stories
Most-Relevant 	|65th			| SonyMusicIndiaVEVO
Most-Relevant 	|67th			| POPS Kids
Most-Relevant 	|68th			| Shemaroo
Most-Relevant 	|69th			| Gaane Sune Ansune
Most-Relevant 	|71st			| Vijay Television
Most-Relevant 	|72nd			| DokuzSekiz Müzik
Most-Relevant 	|76th			| Doggy Doggy Play Doh Cartoons
Most-Relevant 	|77th			| Asianet
Most-Relevant 	|84th			| Felipe Neto
Most-Relevant 	|86th			| YRF
Most-Relevant 	|88th			| ???????Kids Line
Most-Relevant 	|89th			| LooLoo Kids - Nursery Rhymes and…
Most-Relevant 	|92nd			| Aditya Music
Most-Relevant 	|94th			| BRIGHT SIDE
Most-Relevant 	|96th			| Luccas Neto
Most-Relevant 	|99th			| BeckyGVEVO
Most-Relevant 	|104th			| And TV
Most-Relevant 	|106th			| mmoshaya
Most-Relevant 	|107th			| Rajshri
Most-Relevant 	|108th			| Venus
Most-Relevant 	|110th			| Bollywood Classics
Most-Relevant 	|112th			| Webs & Tiaras - Toy Monster…
Most-Relevant 	|113th			| ImagineDragonsVEVO
Most-Relevant 	|114th			| Wave Music - Bhojpuri
Most-Relevant 	|119th			| SIS vs BRO
Most-Relevant 	|120th			| BLACKPINK
Most-Relevant 	|121st			| BillionSurpriseToys - Nursery…
Most-Relevant 	|124th			| Fischer's-???????-
Most-Relevant 	|126th			| Alan Walker
Most-Relevant 	|131st			| Fozi Mozi
Most-Relevant 	|132nd			| Osman Vargas
Most-Relevant 	|136th			| Miss Katy
Most-Relevant 	|138th			| Marília Mendonça
Most-Relevant 	|139th			| LEGO
Most-Relevant 	|142nd			| DuDuPopTOY
Most-Relevant 	|146th			| Rotana
Most-Relevant 	|147th			| Volga Video
Most-Relevant 	|148th			| Trap Nation
Most-Relevant 	|151st			| Sonotek
Most-Relevant 	|152nd			| KanalD
Most-Relevant 	|155th			| Nick Jr.
Most-Relevant 	|156th			| eltrece
Most-Relevant 	|158th			| Worldwide Records Bhojpuri
Most-Relevant 	|159th			| Marshmello
Most-Relevant 	|165th			| Mazhavil Manorama
Most-Relevant 	|166th			| etvteluguindia
Most-Relevant 	|171st			| ThaiCh8 : ???? 8
Most-Relevant 	|173rd			| Daddy Yankee
Most-Relevant 	|174th			| Televisa Telenovelas
Most-Relevant 	|175th			| Dude Perfect
Most-Relevant 	|179th			| YRF Music
Most-Relevant 	|182nd			| Team Films Bhojpuri
Most-Relevant 	|183rd			| ChainsmokersVEVO
Most-Relevant 	|185th			| Mnet Official
