Auto-Generated Report (Modified K-Means Algorithm with three clusters)
Total Records: 4922
Total Clusters: 3
Most-Relevant: 72(1.46%)
Relevant: 4326(87.89%)
Irrelevant: 524(10.65%)
Total Iteration: 25
Time taken: 0.53 seconds

-----------------------------------------------------------
Cluster 	| RanK 			| Channel Name
===========================================================
Most-Relevant 	|1st			| Zee TV
Most-Relevant 	|2nd			| T-Series
Most-Relevant 	|3rd			| Cocomelon - Nursery Rhymes
Most-Relevant 	|4th			| SET India
Most-Relevant 	|5th			| WWE
Most-Relevant 	|6th			| Movieclips
Most-Relevant 	|7th			| netd müzik
Most-Relevant 	|8th			| ABS-CBN Entertainment
Most-Relevant 	|9th			| Ryan ToysReview
Most-Relevant 	|11th			| 5-Minute Crafts
Most-Relevant 	|12th			| Canal KondZilla
Most-Relevant 	|14th			| Ozuna
Most-Relevant 	|15th			| Wave Music
Most-Relevant 	|16th			| Ch3Thailand
Most-Relevant 	|17th			| WORLDSTARHIPHOP
Most-Relevant 	|20th			| WorkpointOfficial
Most-Relevant 	|22nd			| Zee Music Company
Most-Relevant 	|23rd			| SAB TV
Most-Relevant 	|28th			| El Reino Infantil
Most-Relevant 	|39th			| [????] ToyPudding TV
Most-Relevant 	|58th			| CVS 3D Rhymes
Most-Relevant 	|59th			| Maroon5VEVO
Most-Relevant 	|62nd			| 1theK (????)
Most-Relevant 	|64th			| Ed Sheeran
Most-Relevant 	|73rd			| FGTeeV
Most-Relevant 	|75th			| ???? ? ???????
Most-Relevant 	|78th			| Eros Now
Most-Relevant 	|79th			| ChuChu TV Nursery Rhymes & Kids…
Most-Relevant 	|82nd			| Get Movies
Most-Relevant 	|83rd			| SMTOWN
Most-Relevant 	|85th			| Galinha Pintadinha
Most-Relevant 	|100th			| GMM GRAMMY OFFICIAL
Most-Relevant 	|115th			| CookieSwirlC
Most-Relevant 	|117th			| ???? ???? ????? |…
Most-Relevant 	|122nd			| shakiraVEVO
Most-Relevant 	|123rd			| Super Simple Songs - Kids Songs
Most-Relevant 	|127th			| TheEllenShow
Most-Relevant 	|128th			| Family Fun Pack
Most-Relevant 	|150th			| EminemVEVO
Most-Relevant 	|168th			| Ultra Music
Most-Relevant 	|172nd			| Baby Big Mouth
Most-Relevant 	|177th			| LuisFonsiVEVO
Most-Relevant 	|188th			| ArianaGrandeVevo
Most-Relevant 	|194th			| jbalvinVEVO
Most-Relevant 	|199th			| WatchMojo.com
Most-Relevant 	|211th			| KatyPerryVEVO
Most-Relevant 	|213th			| DanTDM
Most-Relevant 	|228th			| BuzzFeedVideo
Most-Relevant 	|230th			| David Guetta
Most-Relevant 	|243rd			| PopularMMOs
Most-Relevant 	|257th			| NickyJamTV
Most-Relevant 	|269th			| VanossGaming
Most-Relevant 	|270th			| Spinnin' Records
Most-Relevant 	|272nd			| Little Baby Bum - Nursery Rhymes &…
Most-Relevant 	|278th			| Fueled By Ramen
Most-Relevant 	|283rd			| CalvinHarrisVEVO
Most-Relevant 	|305th			| TaylorSwiftVEVO
Most-Relevant 	|314th			| MalumaVEVO
Most-Relevant 	|333rd			| Markiplier
Most-Relevant 	|342nd			| VEGETTA777
Most-Relevant 	|354th			| EnriqueIglesiasVEVO
Most-Relevant 	|356th			| jacksepticeye
Most-Relevant 	|374th			| Bruno Mars
Most-Relevant 	|436th			| JustinBieberVEVO
Most-Relevant 	|523rd			| BeyoncéVEVO
Most-Relevant 	|600th			| As/Is
Most-Relevant 	|631st			| RihannaVEVO
Most-Relevant 	|823rd			| Movieclips Trailers
Most-Relevant 	|904th			| The Tonight Show Starring Jimmy…
Most-Relevant 	|1471st			| PewDiePie
Most-Relevant 	|1537th			| Blu Toys Club Surprise
Most-Relevant 	|1644th			| FunToys Collector Disney Toys…
Relevant 		|21st			| xxxtentacion
Relevant 		|24th			| DeadloxMC
Relevant 		|25th			| ETV Andhra Pradesh
Relevant 		|30th			| Kirin AMV's
Relevant 		|32nd			| Stacy Toys
Relevant 		|34th			| InfantiLandia
Relevant 		|35th			| Top Breaking News
Relevant 		|37th			| Goldmines Telefilms
Relevant 		|46th			| Bouncing Baby TV
Relevant 		|57th			| Boram Tube ToysReview [????…
Relevant 		|66th			| Blossom
Relevant 		|70th			| Bolly HD 1080p
Relevant 		|74th			| Erlania e Valentina
Relevant 		|80th			| Oyuncak Av?
Relevant 		|81st			| Cauê Moura
Relevant 		|87th			| Dehati India NonVeg Masti
Relevant 		|90th			| Zaz Official
Relevant 		|91st			| LazarBeam
Relevant 		|93rd			| hairong zheng
Relevant 		|95th			| Tekashi 6ix9ine
Relevant 		|97th			| NollywoodStreams
Relevant 		|98th			| MGR PRODUCTION
Relevant 		|101st			| LetsGoMartin - Nursery Rhymes
Relevant 		|102nd			| HTV2 Channel
Relevant 		|103rd			| Drake - Topic
Relevant 		|105th			| Soft Box Türkiye
Relevant 		|111th			| ????? ???????? ?…
Relevant 		|118th			| Vidol TV
Relevant 		|125th			| Animal Family
Relevant 		|129th			| SebastianYatraVEVO
Relevant 		|130th			| For Kids Learn
Relevant 		|133rd			| AnuelVEVO
Relevant 		|134th			| Goldmines
Relevant 		|135th			| Oops Zeros
Relevant 		|137th			| Las Ratitas
Relevant 		|140th			| Scopian01
Relevant 		|141st			| Sonotek Haryanvi
Relevant 		|145th			| YoungBoy Never Broke Again
Relevant 		|149th			| FunFun ToyShow
Relevant 		|154th			| ZeeQ India
Relevant 		|160th			| Geet MP3
Relevant 		|161st			| KiKiDo
Relevant 		|162nd			| CanalKids HD
Relevant 		|163rd			| Toys And Little Gaby
Relevant 		|164th			| Lady Diana
Relevant 		|167th			| Rainbow ToyTocToc
Relevant 		|169th			| Boo Kids
Relevant 		|170th			| Boram Tube Vlog [????…
Relevant 		|178th			| BabyBus - Kids TV - Songs & Stories
Relevant 		|180th			| 1000virtudes
Relevant 		|184th			| Strawberry Jam Toys
Relevant 		|189th			| Cardi B
Relevant 		|191st			| OLIE THE CUB
Relevant 		|192nd			| BERITA TERBARU HD
Relevant 		|195th			| Senya ToysReview
Relevant 		|196th			| Sen Anlat Karadeniz
Relevant 		|197th			| Mr. Gengar
Relevant 		|203rd			| Learn and Play
Relevant 		|205th			| Ninja
Relevant 		|206th			| CartoonKiDS BR
Relevant 		|208th			| ????? ?????
Relevant 		|212th			| BCC Trolling
Relevant 		|218th			| Funny Sofia Show
Relevant 		|220th			| Mikecrack
Relevant 		|221st			| Peppa Pig - Official Channel
Relevant 		|223rd			| ItsFunneh
Relevant 		|232nd			| Synergy ???? ????
Relevant 		|233rd			| Cole Bennett - Lyrical Lemonade
Relevant 		|234th			| GMA Public Affairs
Relevant 		|238th			| Beam Copphone
Relevant 		|241st			| Kids smile TV
Relevant 		|244th			| Maria Clara & JP
Relevant 		|247th			| MTZ Manuel Turizo
Relevant 		|248th			| GENIAL
Relevant 		|253rd			| Green Gold
Relevant 		|259th			| Flow La Movie
Relevant 		|260th			| SyrebralVibes
Relevant 		|263rd			| Mister Bean Number One Fan in HD -…
Relevant 		|264th			| Aditya Movies - Telugu & Hindi
Relevant 		|273rd			| Armoo
Relevant 		|275th			| 5-Minute Crafts KIDS
Relevant 		|276th			| IndiaiStore
Relevant 		|277th			| ToysPlay
Relevant 		|279th			| Star Casablanca | ????…
Relevant 		|280th			| Lachlan
Relevant 		|281st			| El Reino a Jugar
Relevant 		|282nd			| DopeLyrics
Relevant 		|286th			| Blippi Español
Relevant 		|287th			| Just Kidding Pranks
Relevant 		|291st			| Blippi Toys
Relevant 		|293rd			| The ACE Family
Relevant 		|294th			| K?rg?n Çiçekler
Relevant 		|296th			| Raffy Tulfo in Action
Relevant 		|297th			| Phim HOT TK-L
Relevant 		|304th			| MrBeast
Relevant 		|308th			| ???? ??????? ?? 5…
Relevant 		|312th			| Anand Audio
Relevant 		|313th			| La Rosa Hd
Relevant 		|316th			| La Rosa de Guadalupe
Relevant 		|317th			| Tom Slime
Relevant 		|318th			| T-Play
Relevant 		|321st			| realnollywoodclips
Relevant 		|322nd			| Rahatlat?c? Videolar
Relevant 		|325th			| Hamtaro Gasa
Relevant 		|326th			| Candy Play TV Russian
Relevant 		|329th			| Stephen Sharer
Relevant 		|330th			| Toys Kids TV
Relevant 		|331st			| Brancoala
Relevant 		|332nd			| Rainbow Learning
Relevant 		|334th			| Smile 4ever
Relevant 		|335th			| ninja
Relevant 		|336th			| Cut
Relevant 		|337th			| MikelTube
Relevant 		|338th			| Çizgi Film Oyuncaklar?
Relevant 		|339th			| Soulstice Music Group
Relevant 		|340th			| ???? ?? ???? ??????
Relevant 		|343rd			| Kammy TV
Relevant 		|344th			| Amazing Kids Toys Review
Relevant 		|348th			| tlc uk
Relevant 		|350th			| Goldmines Hindi
Relevant 		|351st			| Penguins TV
Relevant 		|352nd			| Think Music India
Relevant 		|353rd			| Rawan and Rayan
Relevant 		|355th			| OmFut
Relevant 		|359th			| Você Sabia?
Relevant 		|367th			| TimKo Kid
Relevant 		|369th			| shfa
Relevant 		|372nd			| Super Polina
Relevant 		|376th			| Kinder Spielzeug Kanal
Relevant 		|377th			| ??????
Relevant 		|378th			| KN Channel
Relevant 		|379th			| BANGTANTV
Relevant 		|384th			| Ultra Regional
Relevant 		|385th			| Muselk
Relevant 		|388th			| White Hill Music
Relevant 		|397th			| ARY Digital
Relevant 		|398th			| Dessin Animé pour Enfants
Relevant 		|400th			| Izabeloi
Relevant 		|402nd			| Shoof Drama | ??? ?????
Relevant 		|403rd			| Flowers Comedy
Relevant 		|405th			| Alpha TV Greece
Relevant 		|406th			| FunToysMedia
Relevant 		|408th			| Goo Goo Colors
Relevant 		|410th			| HIMAWARI?????
Relevant 		|412th			| Jingle Toons
Relevant 		|413th			| Cartoon Network UK
Relevant 		|414th			| TheGrefg
Relevant 		|415th			| ????MZTV
Relevant 		|418th			| KHANDESHI MOVIES
Relevant 		|420th			| Blippi
Relevant 		|421st			| ?????
Relevant 		|422nd			| Chad Wild Clay
Relevant 		|424th			| RCM Music Bhojpuri
Relevant 		|425th			| OYUNCAKOYNUYORUM
Relevant 		|426th			| Art TV
Relevant 		|428th			| ?ÔNG TÂY PROMOTION OFFICIAL
Relevant 		|429th			| Totoykids Español
Relevant 		|430th			| Los Juguetes Son Divertidos
